| end of split   1 /  2 | epoch   1 | time: 120.24s | valid loss  1.67 | valid ppl     5.30 | learning rate 20.0000
| end of split   2 /  2 | epoch   1 | time: 42.74s | valid loss  1.71 | valid ppl     5.53 | learning rate 20.0000
| end of split   1 /  2 | epoch   2 | time: 128.81s | valid loss  1.57 | valid ppl     4.78 | learning rate 20.0000
| end of split   2 /  2 | epoch   2 | time: 43.74s | valid loss  1.67 | valid ppl     5.33 | learning rate 20.0000
| end of split   1 /  2 | epoch   3 | time: 128.96s | valid loss  1.56 | valid ppl     4.77 | learning rate 20.0000
| end of split   2 /  2 | epoch   3 | time: 44.27s | valid loss  1.64 | valid ppl     5.14 | learning rate 20.0000
TEST: valid loss  1.47 | valid ppl     4.36
| end of split   1 /  2 | epoch   1 | time: 111.75s | valid loss  1.84 | valid ppl     6.30 | learning rate 20.0000
| end of split   2 /  2 | epoch   1 | time: 40.53s | valid loss  1.82 | valid ppl     6.17 | learning rate 20.0000
| end of split   1 /  2 | epoch   2 | time: 113.53s | valid loss  1.67 | valid ppl     5.32 | learning rate 20.0000
| end of split   2 /  2 | epoch   2 | time: 38.69s | valid loss  1.69 | valid ppl     5.40 | learning rate 20.0000
| end of split   1 /  2 | epoch   3 | time: 38.84s | valid loss  1.69 | valid ppl     5.45 | learning rate 20.0000
| end of split   2 /  2 | epoch   3 | time: 115.18s | valid loss  1.61 | valid ppl     5.00 | learning rate 20.0000
| end of split   1 /  2 | epoch   4 | time: 38.75s | valid loss  1.65 | valid ppl     5.23 | learning rate 20.0000
| end of split   2 /  2 | epoch   4 | time: 114.53s | valid loss  1.56 | valid ppl     4.77 | learning rate 20.0000
| end of split   1 /  2 | epoch   5 | time: 113.60s | valid loss  1.55 | valid ppl     4.70 | learning rate 20.0000
| end of split   2 /  2 | epoch   5 | time: 38.46s | valid loss  1.62 | valid ppl     5.07 | learning rate 20.0000
| end of split   1 /  2 | epoch   6 | time: 114.67s | valid loss  1.53 | valid ppl     4.63 | learning rate 20.0000
| end of split   2 /  2 | epoch   6 | time: 38.82s | valid loss  1.59 | valid ppl     4.88 | learning rate 20.0000
| end of split   1 /  2 | epoch   7 | time: 113.15s | valid loss  1.53 | valid ppl     4.63 | learning rate 20.0000
| end of split   2 /  2 | epoch   7 | time: 38.85s | valid loss  1.60 | valid ppl     4.93 | learning rate 20.0000
| end of split   1 /  2 | epoch   8 | time: 38.69s | valid loss  1.63 | valid ppl     5.12 | learning rate 20.0000
| end of split   2 /  2 | epoch   8 | time: 113.93s | valid loss  1.52 | valid ppl     4.55 | learning rate 20.0000
| end of split   1 /  2 | epoch   9 | time: 38.17s | valid loss  1.60 | valid ppl     4.93 | learning rate 20.0000
| end of split   2 /  2 | epoch   9 | time: 113.54s | valid loss  1.51 | valid ppl     4.51 | learning rate 20.0000
| end of split   1 /  2 | epoch  10 | time: 115.47s | valid loss  1.51 | valid ppl     4.51 | learning rate 20.0000
| end of split   2 /  2 | epoch  10 | time: 38.65s | valid loss  1.61 | valid ppl     5.01 | learning rate 20.0000
TEST: valid loss  1.57 | valid ppl     4.81
| end of split   1 /  2 | epoch   1 | time: 104.81s | valid loss  1.65 | valid ppl     5.22 | learning rate 20.0000
| end of split   2 /  2 | epoch   1 | time: 36.93s | valid loss  1.66 | valid ppl     5.26 | learning rate 20.0000
TEST: valid loss  1.63 | valid ppl     5.09
| end of split   1 /  2 | epoch   1 | time: 109.77s | valid loss  1.69 | valid ppl     5.41 | learning rate 20.0000
| end of split   2 /  2 | epoch   1 | time: 41.89s | valid loss  1.68 | valid ppl     5.38 | learning rate 20.0000
| end of split   1 /  2 | epoch   2 | time: 38.43s | valid loss  1.78 | valid ppl     5.91 | learning rate 20.0000
| end of split   2 /  2 | epoch   2 | time: 113.77s | valid loss  1.54 | valid ppl     4.68 | learning rate 20.0000
| end of split   1 /  2 | epoch   3 | time: 114.09s | valid loss  1.54 | valid ppl     4.65 | learning rate 20.0000
| end of split   2 /  2 | epoch   3 | time: 38.29s | valid loss  1.66 | valid ppl     5.24 | learning rate 20.0000
| end of split   1 /  2 | epoch   4 | time: 112.22s | valid loss  1.52 | valid ppl     4.55 | learning rate 20.0000
| end of split   2 /  2 | epoch   4 | time: 38.25s | valid loss  1.64 | valid ppl     5.13 | learning rate 20.0000
| end of split   1 /  2 | epoch   5 | time: 38.54s | valid loss  1.68 | valid ppl     5.37 | learning rate 20.0000
| end of split   2 /  2 | epoch   5 | time: 111.91s | valid loss  1.52 | valid ppl     4.55 | learning rate 20.0000
| end of split   1 /  2 | epoch   6 | time: 111.87s | valid loss  1.53 | valid ppl     4.63 | learning rate 20.0000
| end of split   2 /  2 | epoch   6 | time: 38.62s | valid loss  1.66 | valid ppl     5.24 | learning rate 20.0000
| end of split   1 /  2 | epoch   7 | time: 110.96s | valid loss  1.52 | valid ppl     4.58 | learning rate 20.0000
| end of split   2 /  2 | epoch   7 | time: 38.21s | valid loss  1.65 | valid ppl     5.19 | learning rate 20.0000
| end of split   1 /  2 | epoch   8 | time: 38.44s | valid loss  1.69 | valid ppl     5.44 | learning rate 20.0000
| end of split   2 /  2 | epoch   8 | time: 113.01s | valid loss  1.51 | valid ppl     4.53 | learning rate 20.0000
| end of split   1 /  2 | epoch   9 | time: 111.81s | valid loss  1.54 | valid ppl     4.67 | learning rate 20.0000
| end of split   2 /  2 | epoch   9 | time: 38.79s | valid loss  1.70 | valid ppl     5.49 | learning rate 20.0000
| end of split   1 /  2 | epoch  10 | time: 38.74s | valid loss  1.72 | valid ppl     5.59 | learning rate 20.0000
| end of split   2 /  2 | epoch  10 | time: 111.54s | valid loss  1.55 | valid ppl     4.69 | learning rate 20.0000
| end of split   1 /  2 | epoch  11 | time: 38.25s | valid loss  1.71 | valid ppl     5.51 | learning rate 20.0000
| end of split   2 /  2 | epoch  11 | time: 109.76s | valid loss  1.54 | valid ppl     4.68 | learning rate 20.0000
| end of split   1 /  2 | epoch  12 | time: 38.23s | valid loss  1.70 | valid ppl     5.49 | learning rate 20.0000
| end of split   2 /  2 | epoch  12 | time: 111.19s | valid loss  1.56 | valid ppl     4.76 | learning rate 20.0000
| end of split   1 /  2 | epoch  13 | time: 111.80s | valid loss  1.56 | valid ppl     4.78 | learning rate 20.0000
| end of split   2 /  2 | epoch  13 | time: 38.75s | valid loss  1.72 | valid ppl     5.58 | learning rate 20.0000
| end of split   1 /  2 | epoch  14 | time: 111.58s | valid loss  1.60 | valid ppl     4.94 | learning rate 20.0000
| end of split   2 /  2 | epoch  14 | time: 38.43s | valid loss  1.69 | valid ppl     5.41 | learning rate 5.0000
| end of split   1 /  2 | epoch  15 | time: 38.31s | valid loss  1.71 | valid ppl     5.55 | learning rate 5.0000
| end of split   2 /  2 | epoch  15 | time: 109.76s | valid loss  1.59 | valid ppl     4.88 | learning rate 5.0000
| end of split   1 /  2 | epoch  16 | time: 111.40s | valid loss  1.62 | valid ppl     5.03 | learning rate 5.0000
| end of split   2 /  2 | epoch  16 | time: 38.73s | valid loss  1.72 | valid ppl     5.58 | learning rate 5.0000
| end of split   1 /  2 | epoch  17 | time: 38.64s | valid loss  1.75 | valid ppl     5.77 | learning rate 5.0000
| end of split   2 /  2 | epoch  17 | time: 111.86s | valid loss  1.62 | valid ppl     5.06 | learning rate 5.0000
TEST: valid loss  1.58 | valid ppl     4.84
