| end of split   1 /  3 | epoch   1 | time:  8.75s | valid loss  1.69 | valid ppl     5.43 | learning rate 20.0000
| end of split   2 /  3 | epoch   1 | time:  2.92s | valid loss  1.88 | valid ppl     6.55 | learning rate 20.0000
| end of split   3 /  3 | epoch   1 | time:  0.89s | valid loss  1.91 | valid ppl     6.76 | learning rate 20.0000
| end of split   1 /  3 | epoch   2 | time:  2.93s | valid loss  1.84 | valid ppl     6.28 | learning rate 20.0000
| end of split   2 /  3 | epoch   2 | time:  8.32s | valid loss  1.47 | valid ppl     4.34 | learning rate 20.0000
| end of split   3 /  3 | epoch   2 | time:  0.89s | valid loss  1.77 | valid ppl     5.87 | learning rate 20.0000
| end of split   1 /  3 | epoch   3 | time:  8.31s | valid loss  1.43 | valid ppl     4.19 | learning rate 20.0000
| end of split   2 /  3 | epoch   3 | time:  0.90s | valid loss  1.67 | valid ppl     5.30 | learning rate 20.0000
| end of split   3 /  3 | epoch   3 | time:  2.92s | valid loss  1.65 | valid ppl     5.19 | learning rate 20.0000
| end of split   1 /  3 | epoch   4 | time:  0.90s | valid loss  1.72 | valid ppl     5.60 | learning rate 20.0000
| end of split   2 /  3 | epoch   4 | time:  8.02s | valid loss  1.38 | valid ppl     3.97 | learning rate 20.0000
| end of split   3 /  3 | epoch   4 | time:  2.93s | valid loss  1.61 | valid ppl     5.00 | learning rate 20.0000
| end of split   1 /  3 | epoch   5 | time:  8.02s | valid loss  1.35 | valid ppl     3.88 | learning rate 20.0000
| end of split   2 /  3 | epoch   5 | time:  2.92s | valid loss  1.59 | valid ppl     4.89 | learning rate 20.0000
| end of split   3 /  3 | epoch   5 | time:  0.90s | valid loss  1.64 | valid ppl     5.13 | learning rate 20.0000
| end of split   1 /  3 | epoch   6 | time:  2.91s | valid loss  1.60 | valid ppl     4.93 | learning rate 20.0000
| end of split   2 /  3 | epoch   6 | time:  0.88s | valid loss  1.66 | valid ppl     5.28 | learning rate 20.0000
| end of split   3 /  3 | epoch   6 | time:  8.04s | valid loss  1.33 | valid ppl     3.80 | learning rate 20.0000
| end of split   1 /  3 | epoch   7 | time:  2.91s | valid loss  1.58 | valid ppl     4.85 | learning rate 20.0000
| end of split   2 /  3 | epoch   7 | time:  8.02s | valid loss  1.32 | valid ppl     3.75 | learning rate 20.0000
| end of split   3 /  3 | epoch   7 | time:  0.89s | valid loss  1.55 | valid ppl     4.70 | learning rate 20.0000
| end of split   1 /  3 | epoch   8 | time:  2.92s | valid loss  1.61 | valid ppl     4.98 | learning rate 20.0000
| end of split   2 /  3 | epoch   8 | time:  7.86s | valid loss  1.32 | valid ppl     3.75 | learning rate 20.0000
| end of split   3 /  3 | epoch   8 | time:  0.89s | valid loss  1.49 | valid ppl     4.45 | learning rate 20.0000
| end of split   1 /  3 | epoch   9 | time:  8.09s | valid loss  1.28 | valid ppl     3.59 | learning rate 20.0000
| end of split   2 /  3 | epoch   9 | time:  2.91s | valid loss  1.54 | valid ppl     4.67 | learning rate 20.0000
| end of split   3 /  3 | epoch   9 | time:  0.88s | valid loss  1.53 | valid ppl     4.60 | learning rate 20.0000
| end of split   1 /  3 | epoch  10 | time:  8.07s | valid loss  1.27 | valid ppl     3.55 | learning rate 20.0000
| end of split   2 /  3 | epoch  10 | time:  2.92s | valid loss  1.54 | valid ppl     4.68 | learning rate 20.0000
| end of split   3 /  3 | epoch  10 | time:  0.90s | valid loss  1.53 | valid ppl     4.63 | learning rate 20.0000
| end of split   1 /  3 | epoch  11 | time:  2.91s | valid loss  1.56 | valid ppl     4.77 | learning rate 20.0000
| end of split   2 /  3 | epoch  11 | time:  7.90s | valid loss  1.32 | valid ppl     3.73 | learning rate 20.0000
| end of split   3 /  3 | epoch  11 | time:  0.88s | valid loss  1.47 | valid ppl     4.35 | learning rate 20.0000
| end of split   1 /  3 | epoch  12 | time:  0.89s | valid loss  1.51 | valid ppl     4.53 | learning rate 20.0000
| end of split   2 /  3 | epoch  12 | time:  7.84s | valid loss  1.30 | valid ppl     3.67 | learning rate 20.0000
| end of split   3 /  3 | epoch  12 | time:  2.90s | valid loss  1.57 | valid ppl     4.78 | learning rate 20.0000
| end of split   1 /  3 | epoch  13 | time:  7.85s | valid loss  1.27 | valid ppl     3.57 | learning rate 20.0000
| end of split   2 /  3 | epoch  13 | time:  2.91s | valid loss  1.54 | valid ppl     4.67 | learning rate 20.0000
| end of split   3 /  3 | epoch  13 | time:  0.89s | valid loss  1.56 | valid ppl     4.77 | learning rate 20.0000
| end of split   1 /  3 | epoch  14 | time:  0.91s | valid loss  1.43 | valid ppl     4.19 | learning rate 5.0000
| end of split   2 /  3 | epoch  14 | time:  2.91s | valid loss  1.54 | valid ppl     4.66 | learning rate 5.0000
| end of split   3 /  3 | epoch  14 | time:  8.15s | valid loss  1.25 | valid ppl     3.48 | learning rate 5.0000
| end of split   1 /  3 | epoch  15 | time:  8.11s | valid loss  1.24 | valid ppl     3.46 | learning rate 5.0000
| end of split   2 /  3 | epoch  15 | time:  2.90s | valid loss  1.49 | valid ppl     4.46 | learning rate 5.0000
| end of split   3 /  3 | epoch  15 | time:  0.88s | valid loss  1.41 | valid ppl     4.09 | learning rate 5.0000
| end of split   1 /  3 | epoch  16 | time:  0.89s | valid loss  1.41 | valid ppl     4.08 | learning rate 5.0000
| end of split   2 /  3 | epoch  16 | time:  7.83s | valid loss  1.25 | valid ppl     3.47 | learning rate 5.0000
| end of split   3 /  3 | epoch  16 | time:  2.90s | valid loss  1.50 | valid ppl     4.47 | learning rate 5.0000
| end of split   1 /  3 | epoch  17 | time:  7.96s | valid loss  1.25 | valid ppl     3.47 | learning rate 5.0000
| end of split   2 /  3 | epoch  17 | time:  0.89s | valid loss  1.33 | valid ppl     3.77 | learning rate 5.0000
| end of split   3 /  3 | epoch  17 | time:  2.89s | valid loss  1.49 | valid ppl     4.44 | learning rate 5.0000
| end of split   1 /  3 | epoch  18 | time:  2.91s | valid loss  1.53 | valid ppl     4.62 | learning rate 5.0000
| end of split   2 /  3 | epoch  18 | time:  0.88s | valid loss  1.43 | valid ppl     4.18 | learning rate 5.0000
| end of split   3 /  3 | epoch  18 | time:  7.89s | valid loss  1.25 | valid ppl     3.48 | learning rate 5.0000
| end of split   1 /  3 | epoch  19 | time:  0.90s | valid loss  1.26 | valid ppl     3.54 | learning rate 1.2500
| end of split   2 /  3 | epoch  19 | time:  7.84s | valid loss  1.25 | valid ppl     3.48 | learning rate 1.2500
| end of split   3 /  3 | epoch  19 | time:  2.90s | valid loss  1.43 | valid ppl     4.16 | learning rate 1.2500
| end of split   1 /  3 | epoch  20 | time:  2.91s | valid loss  1.46 | valid ppl     4.32 | learning rate 1.2500
| end of split   2 /  3 | epoch  20 | time:  7.84s | valid loss  1.25 | valid ppl     3.49 | learning rate 1.2500
| end of split   3 /  3 | epoch  20 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 1.2500
| end of split   1 /  3 | epoch  21 | time:  7.86s | valid loss  1.25 | valid ppl     3.50 | learning rate 1.2500
| end of split   2 /  3 | epoch  21 | time:  2.90s | valid loss  1.42 | valid ppl     4.16 | learning rate 1.2500
| end of split   3 /  3 | epoch  21 | time:  0.89s | valid loss  1.37 | valid ppl     3.92 | learning rate 1.2500
| end of split   1 /  3 | epoch  22 | time:  0.90s | valid loss  1.36 | valid ppl     3.91 | learning rate 1.2500
| end of split   2 /  3 | epoch  22 | time:  2.91s | valid loss  1.45 | valid ppl     4.25 | learning rate 1.2500
| end of split   3 /  3 | epoch  22 | time:  7.85s | valid loss  1.26 | valid ppl     3.52 | learning rate 0.3125
| end of split   1 /  3 | epoch  23 | time:  2.92s | valid loss  1.36 | valid ppl     3.90 | learning rate 0.3125
| end of split   2 /  3 | epoch  23 | time:  0.89s | valid loss  1.34 | valid ppl     3.81 | learning rate 0.3125
| end of split   3 /  3 | epoch  23 | time:  7.86s | valid loss  1.26 | valid ppl     3.51 | learning rate 0.3125
| end of split   1 /  3 | epoch  24 | time:  2.93s | valid loss  1.35 | valid ppl     3.87 | learning rate 0.3125
| end of split   2 /  3 | epoch  24 | time:  7.87s | valid loss  1.26 | valid ppl     3.51 | learning rate 0.3125
| end of split   3 /  3 | epoch  24 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.3125
| end of split   1 /  3 | epoch  25 | time:  2.93s | valid loss  1.35 | valid ppl     3.85 | learning rate 0.3125
| end of split   2 /  3 | epoch  25 | time:  0.90s | valid loss  1.33 | valid ppl     3.78 | learning rate 0.3125
| end of split   3 /  3 | epoch  25 | time:  7.87s | valid loss  1.25 | valid ppl     3.51 | learning rate 0.3125
| end of split   1 /  3 | epoch  26 | time:  2.93s | valid loss  1.35 | valid ppl     3.85 | learning rate 0.3125
| end of split   2 /  3 | epoch  26 | time:  7.89s | valid loss  1.26 | valid ppl     3.54 | learning rate 0.0781
| end of split   3 /  3 | epoch  26 | time:  0.89s | valid loss  1.26 | valid ppl     3.53 | learning rate 0.0781
| end of split   1 /  3 | epoch  27 | time:  0.90s | valid loss  1.26 | valid ppl     3.53 | learning rate 0.0781
| end of split   2 /  3 | epoch  27 | time:  2.93s | valid loss  1.30 | valid ppl     3.67 | learning rate 0.0781
| end of split   3 /  3 | epoch  27 | time:  7.90s | valid loss  1.26 | valid ppl     3.53 | learning rate 0.0781
| end of split   1 /  3 | epoch  28 | time:  0.91s | valid loss  1.26 | valid ppl     3.52 | learning rate 0.0781
| end of split   2 /  3 | epoch  28 | time:  7.89s | valid loss  1.26 | valid ppl     3.52 | learning rate 0.0781
| end of split   3 /  3 | epoch  28 | time:  2.95s | valid loss  1.29 | valid ppl     3.63 | learning rate 0.0781
| end of split   1 /  3 | epoch  29 | time:  2.94s | valid loss  1.32 | valid ppl     3.73 | learning rate 0.0781
| end of split   2 /  3 | epoch  29 | time:  7.93s | valid loss  1.26 | valid ppl     3.53 | learning rate 0.0781
| end of split   3 /  3 | epoch  29 | time:  0.91s | valid loss  1.26 | valid ppl     3.52 | learning rate 0.0781
| end of split   1 /  3 | epoch  30 | time:  2.94s | valid loss  1.27 | valid ppl     3.55 | learning rate 0.0195
| end of split   2 /  3 | epoch  30 | time:  7.92s | valid loss  1.26 | valid ppl     3.53 | learning rate 0.0195
| end of split   3 /  3 | epoch  30 | time:  0.90s | valid loss  1.26 | valid ppl     3.53 | learning rate 0.0195
| end of split   1 /  3 | epoch  31 | time:  0.91s | valid loss  1.26 | valid ppl     3.53 | learning rate 0.0195
| end of split   2 /  3 | epoch  31 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0195
| end of split   3 /  3 | epoch  31 | time:  7.93s | valid loss  1.26 | valid ppl     3.54 | learning rate 0.0195
| end of split   1 /  3 | epoch  32 | time:  7.97s | valid loss  1.26 | valid ppl     3.53 | learning rate 0.0195
| end of split   2 /  3 | epoch  32 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0195
| end of split   3 /  3 | epoch  32 | time:  0.90s | valid loss  1.27 | valid ppl     3.55 | learning rate 0.0195
| end of split   1 /  3 | epoch  33 | time:  7.94s | valid loss  1.26 | valid ppl     3.54 | learning rate 0.0195
| end of split   2 /  3 | epoch  33 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0195
| end of split   3 /  3 | epoch  33 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0049
| end of split   1 /  3 | epoch  34 | time:  2.94s | valid loss  1.27 | valid ppl     3.57 | learning rate 0.0049
| end of split   2 /  3 | epoch  34 | time:  7.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0049
| end of split   3 /  3 | epoch  34 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0049
| end of split   1 /  3 | epoch  35 | time:  7.95s | valid loss  1.27 | valid ppl     3.55 | learning rate 0.0049
| end of split   2 /  3 | epoch  35 | time:  0.89s | valid loss  1.27 | valid ppl     3.55 | learning rate 0.0049
| end of split   3 /  3 | epoch  35 | time:  2.96s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0049
| end of split   1 /  3 | epoch  36 | time:  8.00s | valid loss  1.27 | valid ppl     3.55 | learning rate 0.0049
| end of split   2 /  3 | epoch  36 | time:  0.90s | valid loss  1.27 | valid ppl     3.55 | learning rate 0.0049
| end of split   3 /  3 | epoch  36 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0049
| end of split   1 /  3 | epoch  37 | time:  2.94s | valid loss  1.27 | valid ppl     3.57 | learning rate 0.0049
| end of split   2 /  3 | epoch  37 | time:  7.95s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0012
| end of split   3 /  3 | epoch  37 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0012
| end of split   1 /  3 | epoch  38 | time:  7.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0012
| end of split   2 /  3 | epoch  38 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0012
| end of split   3 /  3 | epoch  38 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0012
| end of split   1 /  3 | epoch  39 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0012
| end of split   2 /  3 | epoch  39 | time:  7.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0012
| end of split   3 /  3 | epoch  39 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0012
| end of split   1 /  3 | epoch  40 | time:  2.93s | valid loss  1.27 | valid ppl     3.57 | learning rate 0.0012
| end of split   2 /  3 | epoch  40 | time:  7.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0012
| end of split   3 /  3 | epoch  40 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0012
| end of split   1 /  3 | epoch  41 | time:  8.02s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0003
| end of split   2 /  3 | epoch  41 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0003
| end of split   3 /  3 | epoch  41 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0003
| end of split   1 /  3 | epoch  42 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0003
| end of split   2 /  3 | epoch  42 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0003
| end of split   3 /  3 | epoch  42 | time:  7.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0003
| end of split   1 /  3 | epoch  43 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0003
| end of split   2 /  3 | epoch  43 | time:  7.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0003
| end of split   3 /  3 | epoch  43 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0003
| end of split   1 /  3 | epoch  44 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0003
| end of split   2 /  3 | epoch  44 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0003
| end of split   3 /  3 | epoch  44 | time:  7.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0001
| end of split   1 /  3 | epoch  45 | time:  7.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0001
| end of split   2 /  3 | epoch  45 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0001
| end of split   3 /  3 | epoch  45 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0001
| end of split   1 /  3 | epoch  46 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0001
| end of split   2 /  3 | epoch  46 | time:  7.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0001
| end of split   3 /  3 | epoch  46 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0001
| end of split   1 /  3 | epoch  47 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0001
| end of split   2 /  3 | epoch  47 | time:  7.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0001
| end of split   3 /  3 | epoch  47 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0001
| end of split   1 /  3 | epoch  48 | time:  2.94s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0001
| end of split   2 /  3 | epoch  48 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  48 | time:  7.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  49 | time:  7.95s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  49 | time:  2.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  49 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  50 | time:  7.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  50 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
