| end of split   1 /  3 | epoch   1 | time:  7.95s | valid loss  1.69 | valid ppl     5.40 | learning rate 20.0000
| end of split   2 /  3 | epoch   1 | time:  2.74s | valid loss  1.79 | valid ppl     5.97 | learning rate 20.0000
| end of split   3 /  3 | epoch   1 | time:  0.88s | valid loss  1.85 | valid ppl     6.39 | learning rate 20.0000
| end of split   1 /  3 | epoch   2 | time:  2.75s | valid loss  1.78 | valid ppl     5.91 | learning rate 20.0000
| end of split   2 /  3 | epoch   2 | time:  0.89s | valid loss  1.94 | valid ppl     6.93 | learning rate 20.0000
| end of split   3 /  3 | epoch   2 | time:  7.51s | valid loss  1.41 | valid ppl     4.11 | learning rate 20.0000
| end of split   1 /  3 | epoch   3 | time:  2.77s | valid loss  1.63 | valid ppl     5.12 | learning rate 20.0000
| end of split   2 /  3 | epoch   3 | time:  7.78s | valid loss  1.36 | valid ppl     3.89 | learning rate 20.0000
| end of split   3 /  3 | epoch   3 | time:  0.87s | valid loss  1.62 | valid ppl     5.04 | learning rate 20.0000
| end of split   1 /  3 | epoch   4 | time:  2.76s | valid loss  1.55 | valid ppl     4.72 | learning rate 20.0000
| end of split   2 /  3 | epoch   4 | time:  0.87s | valid loss  1.66 | valid ppl     5.25 | learning rate 20.0000
| end of split   3 /  3 | epoch   4 | time:  7.58s | valid loss  1.32 | valid ppl     3.74 | learning rate 20.0000
| end of split   1 /  3 | epoch   5 | time:  0.87s | valid loss  1.64 | valid ppl     5.14 | learning rate 20.0000
| end of split   2 /  3 | epoch   5 | time:  7.43s | valid loss  1.32 | valid ppl     3.76 | learning rate 20.0000
| end of split   3 /  3 | epoch   5 | time:  2.78s | valid loss  1.53 | valid ppl     4.60 | learning rate 20.0000
| end of split   1 /  3 | epoch   6 | time:  0.87s | valid loss  1.61 | valid ppl     5.01 | learning rate 20.0000
| end of split   2 /  3 | epoch   6 | time:  2.77s | valid loss  1.55 | valid ppl     4.69 | learning rate 20.0000
| end of split   3 /  3 | epoch   6 | time:  7.66s | valid loss  1.28 | valid ppl     3.58 | learning rate 20.0000
| end of split   1 /  3 | epoch   7 | time:  2.79s | valid loss  1.54 | valid ppl     4.64 | learning rate 20.0000
| end of split   2 /  3 | epoch   7 | time:  0.87s | valid loss  1.65 | valid ppl     5.21 | learning rate 20.0000
| end of split   3 /  3 | epoch   7 | time:  7.49s | valid loss  1.28 | valid ppl     3.60 | learning rate 20.0000
| end of split   1 /  3 | epoch   8 | time:  0.93s | valid loss  1.52 | valid ppl     4.55 | learning rate 20.0000
| end of split   2 /  3 | epoch   8 | time:  7.69s | valid loss  1.26 | valid ppl     3.54 | learning rate 20.0000
| end of split   3 /  3 | epoch   8 | time:  2.81s | valid loss  1.49 | valid ppl     4.43 | learning rate 20.0000
| end of split   1 /  3 | epoch   9 | time:  2.82s | valid loss  1.54 | valid ppl     4.67 | learning rate 20.0000
| end of split   2 /  3 | epoch   9 | time:  0.92s | valid loss  1.55 | valid ppl     4.73 | learning rate 20.0000
| end of split   3 /  3 | epoch   9 | time:  7.57s | valid loss  1.27 | valid ppl     3.56 | learning rate 20.0000
| end of split   1 /  3 | epoch  10 | time:  7.86s | valid loss  1.26 | valid ppl     3.54 | learning rate 20.0000
| end of split   2 /  3 | epoch  10 | time:  2.82s | valid loss  1.51 | valid ppl     4.55 | learning rate 20.0000
| end of split   3 /  3 | epoch  10 | time:  0.87s | valid loss  1.54 | valid ppl     4.69 | learning rate 20.0000
| end of split   1 /  3 | epoch  11 | time:  8.01s | valid loss  1.24 | valid ppl     3.45 | learning rate 20.0000
| end of split   2 /  3 | epoch  11 | time:  0.88s | valid loss  1.47 | valid ppl     4.33 | learning rate 20.0000
| end of split   3 /  3 | epoch  11 | time:  2.83s | valid loss  1.51 | valid ppl     4.54 | learning rate 20.0000
| end of split   1 /  3 | epoch  12 | time:  0.95s | valid loss  1.52 | valid ppl     4.57 | learning rate 20.0000
| end of split   2 /  3 | epoch  12 | time:  2.83s | valid loss  1.53 | valid ppl     4.63 | learning rate 20.0000
| end of split   3 /  3 | epoch  12 | time:  7.66s | valid loss  1.24 | valid ppl     3.47 | learning rate 20.0000
| end of split   1 /  3 | epoch  13 | time:  7.80s | valid loss  1.25 | valid ppl     3.47 | learning rate 20.0000
| end of split   2 /  3 | epoch  13 | time:  2.86s | valid loss  1.47 | valid ppl     4.35 | learning rate 20.0000
| end of split   3 /  3 | epoch  13 | time:  0.88s | valid loss  1.48 | valid ppl     4.37 | learning rate 20.0000
| end of split   1 /  3 | epoch  14 | time:  0.89s | valid loss  1.53 | valid ppl     4.61 | learning rate 20.0000
| end of split   2 /  3 | epoch  14 | time:  2.86s | valid loss  1.54 | valid ppl     4.65 | learning rate 20.0000
| end of split   3 /  3 | epoch  14 | time:  7.72s | valid loss  1.25 | valid ppl     3.48 | learning rate 20.0000
| end of split   1 /  3 | epoch  15 | time:  0.89s | valid loss  1.30 | valid ppl     3.68 | learning rate 5.0000
| end of split   2 /  3 | epoch  15 | time:  2.90s | valid loss  1.44 | valid ppl     4.23 | learning rate 5.0000
| end of split   3 /  3 | epoch  15 | time:  7.98s | valid loss  1.22 | valid ppl     3.40 | learning rate 5.0000
| end of split   1 /  3 | epoch  16 | time:  2.89s | valid loss  1.42 | valid ppl     4.12 | learning rate 5.0000
| end of split   2 /  3 | epoch  16 | time:  7.80s | valid loss  1.23 | valid ppl     3.41 | learning rate 5.0000
| end of split   3 /  3 | epoch  16 | time:  0.89s | valid loss  1.29 | valid ppl     3.65 | learning rate 5.0000
| end of split   1 /  3 | epoch  17 | time:  2.90s | valid loss  1.43 | valid ppl     4.18 | learning rate 5.0000
| end of split   2 /  3 | epoch  17 | time:  0.89s | valid loss  1.36 | valid ppl     3.92 | learning rate 5.0000
| end of split   3 /  3 | epoch  17 | time:  7.81s | valid loss  1.23 | valid ppl     3.41 | learning rate 5.0000
| end of split   1 /  3 | epoch  18 | time:  0.89s | valid loss  1.30 | valid ppl     3.68 | learning rate 5.0000
| end of split   2 /  3 | epoch  18 | time:  7.83s | valid loss  1.23 | valid ppl     3.42 | learning rate 5.0000
| end of split   3 /  3 | epoch  18 | time:  2.90s | valid loss  1.42 | valid ppl     4.16 | learning rate 5.0000
| end of split   1 /  3 | epoch  19 | time:  0.90s | valid loss  1.35 | valid ppl     3.85 | learning rate 5.0000
| end of split   2 /  3 | epoch  19 | time:  2.91s | valid loss  1.46 | valid ppl     4.32 | learning rate 5.0000
| end of split   3 /  3 | epoch  19 | time:  7.86s | valid loss  1.24 | valid ppl     3.44 | learning rate 1.2500
| end of split   1 /  3 | epoch  20 | time:  7.88s | valid loss  1.23 | valid ppl     3.43 | learning rate 1.2500
| end of split   2 /  3 | epoch  20 | time:  2.92s | valid loss  1.37 | valid ppl     3.95 | learning rate 1.2500
| end of split   3 /  3 | epoch  20 | time:  0.89s | valid loss  1.31 | valid ppl     3.70 | learning rate 1.2500
| end of split   1 /  3 | epoch  21 | time:  7.98s | valid loss  1.24 | valid ppl     3.44 | learning rate 1.2500
| end of split   2 /  3 | epoch  21 | time:  2.93s | valid loss  1.37 | valid ppl     3.92 | learning rate 1.2500
| end of split   3 /  3 | epoch  21 | time:  0.89s | valid loss  1.30 | valid ppl     3.69 | learning rate 1.2500
| end of split   1 /  3 | epoch  22 | time:  0.90s | valid loss  1.31 | valid ppl     3.72 | learning rate 1.2500
| end of split   2 /  3 | epoch  22 | time:  7.96s | valid loss  1.24 | valid ppl     3.45 | learning rate 1.2500
| end of split   3 /  3 | epoch  22 | time:  2.93s | valid loss  1.36 | valid ppl     3.89 | learning rate 1.2500
| end of split   1 /  3 | epoch  23 | time:  8.10s | valid loss  1.24 | valid ppl     3.45 | learning rate 1.2500
| end of split   2 /  3 | epoch  23 | time:  2.94s | valid loss  1.30 | valid ppl     3.66 | learning rate 0.3125
| end of split   3 /  3 | epoch  23 | time:  0.90s | valid loss  1.28 | valid ppl     3.59 | learning rate 0.3125
| end of split   1 /  3 | epoch  24 | time:  2.94s | valid loss  1.32 | valid ppl     3.75 | learning rate 0.3125
| end of split   2 /  3 | epoch  24 | time:  0.91s | valid loss  1.30 | valid ppl     3.66 | learning rate 0.3125
| end of split   3 /  3 | epoch  24 | time:  7.93s | valid loss  1.24 | valid ppl     3.46 | learning rate 0.3125
| end of split   1 /  3 | epoch  25 | time:  0.90s | valid loss  1.24 | valid ppl     3.46 | learning rate 0.3125
| end of split   2 /  3 | epoch  25 | time:  2.93s | valid loss  1.30 | valid ppl     3.68 | learning rate 0.3125
| end of split   3 /  3 | epoch  25 | time:  7.93s | valid loss  1.24 | valid ppl     3.47 | learning rate 0.3125
| end of split   1 /  3 | epoch  26 | time:  0.90s | valid loss  1.24 | valid ppl     3.46 | learning rate 0.3125
| end of split   2 /  3 | epoch  26 | time:  7.94s | valid loss  1.24 | valid ppl     3.46 | learning rate 0.3125
| end of split   3 /  3 | epoch  26 | time:  2.95s | valid loss  1.29 | valid ppl     3.65 | learning rate 0.3125
| end of split   1 /  3 | epoch  27 | time:  7.96s | valid loss  1.25 | valid ppl     3.49 | learning rate 0.0781
| end of split   2 /  3 | epoch  27 | time:  0.90s | valid loss  1.25 | valid ppl     3.48 | learning rate 0.0781
| end of split   3 /  3 | epoch  27 | time:  2.94s | valid loss  1.26 | valid ppl     3.54 | learning rate 0.0781
| end of split   1 /  3 | epoch  28 | time:  2.95s | valid loss  1.28 | valid ppl     3.60 | learning rate 0.0781
| end of split   2 /  3 | epoch  28 | time:  7.94s | valid loss  1.25 | valid ppl     3.49 | learning rate 0.0781
| end of split   3 /  3 | epoch  28 | time:  0.89s | valid loss  1.25 | valid ppl     3.48 | learning rate 0.0781
| end of split   1 /  3 | epoch  29 | time:  2.94s | valid loss  1.26 | valid ppl     3.54 | learning rate 0.0781
