EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:34:14	4	0.0048	2.3029851438772626	1.7310172319412231	0.5731	0.5731	0.5731	0.5731
2	16:34:18	4	0.0095	1.60748866384745	1.3418083190917969	0.5375	0.5375	0.5375	0.5375
3	16:34:18	4	0.0143	1.4082366229901666	1.4441174268722534	0.585	0.585	0.585	0.585
4	16:34:21	4	0.0190	1.5930831932194451	1.5684031248092651	0.4941	0.4941	0.4941	0.4941
5	16:34:21	4	0.0238	1.7274193396935096	1.3780651092529297	0.6008	0.6008	0.6008	0.6008
6	16:34:24	4	0.0286	1.6392163813204068	1.265434980392456	0.6285	0.6285	0.6285	0.6285
7	16:34:28	4	0.0333	1.5889499831163685	1.1941730976104736	0.6245	0.6245	0.6245	0.6245
8	16:34:29	4	0.0381	1.6122229275480475	1.2315869331359863	0.6561	0.6561	0.6561	0.6561
9	16:34:33	4	0.0429	1.583016696199213	1.4117015600204468	0.6403	0.6403	0.6403	0.6403
10	16:34:33	4	0.0476	1.6429332428208663	1.3580471277236938	0.6206	0.6206	0.6206	0.6206
11	16:34:33	4	0.0497	1.7453987271178002	1.125677227973938	0.6206	0.6206	0.6206	0.6206
12	16:34:34	4	0.0492	1.497541539809283	1.0714142322540283	0.6285	0.6285	0.6285	0.6285
13	16:34:34	4	0.0487	1.4633358571324413	1.07005774974823	0.6561	0.6561	0.6561	0.6561
14	16:34:34	4	0.0481	1.4408139420131034	1.2615257501602173	0.6166	0.6166	0.6166	0.6166
15	16:34:34	4	0.0476	1.4629463897751107	1.1112382411956787	0.6087	0.6087	0.6087	0.6087
16	16:34:34	4	0.0471	1.3475406008068793	1.0841151475906372	0.6759	0.6759	0.6759	0.6759
17	16:34:38	4	0.0466	1.2337908047176953	1.0475478172302246	0.6561	0.6561	0.6561	0.6561
18	16:34:38	4	0.0460	1.278232787349465	1.008445143699646	0.6759	0.6759	0.6759	0.6759
19	16:34:39	4	0.0455	1.2419783993544082	1.0651189088821411	0.668	0.668	0.668	0.668
20	16:34:39	4	0.0450	1.2704415299773755	1.0449872016906738	0.6601	0.6601	0.6601	0.6601
21	16:34:39	4	0.0444	1.3231738451559258	0.9984214901924133	0.668	0.668	0.668	0.668
22	16:34:39	4	0.0439	1.07220458984375	1.0373268127441406	0.6443	0.6443	0.6443	0.6443
23	16:34:40	4	0.0434	1.1197108848422181	1.0983588695526123	0.6443	0.6443	0.6443	0.6443
24	16:34:40	4	0.0429	1.1871595771064585	1.0612549781799316	0.6601	0.6601	0.6601	0.6601
25	16:34:40	4	0.0423	1.1550003443008814	1.0460705757141113	0.6917	0.6917	0.6917	0.6917
26	16:34:45	4	0.0418	1.1371570892103837	1.0331097841262817	0.6759	0.6759	0.6759	0.6759
27	16:34:45	4	0.0413	1.1029023850845177	0.9815843105316162	0.6877	0.6877	0.6877	0.6877
28	16:34:45	4	0.0407	1.0972651831165159	1.1086599826812744	0.664	0.664	0.664	0.664
29	16:34:46	4	0.0402	1.1970488719451122	1.0367810726165771	0.668	0.668	0.668	0.668
30	16:34:46	4	0.0397	1.2146988260260534	1.0822194814682007	0.6364	0.6364	0.6364	0.6364
31	16:34:46	4	0.0392	1.314899415811622	1.0413869619369507	0.6719	0.6719	0.6719	0.6719
32	16:34:47	4	0.0386	1.1872165501567213	1.1123989820480347	0.6522	0.6522	0.6522	0.6522
