EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	17:54:35	0	1.0000	3.908855775512984	0.2684	0.2684	0.2684	0.2684	2.4988315105438232	0.2773	0.2773	0.2773	0.2773	2.4038403034210205	0.2731	0.2731	0.2731	0.2731
2	17:54:43	0	1.0000	3.1483439704768763	0.365	0.365	0.365	0.365	2.6347174644470215	0.3571	0.3571	0.3571	0.3571	2.6697335243225098	0.386	0.386	0.386	0.386
3	17:54:52	1	1.0000	3.8193018415013666	0.1773	0.1773	0.1773	0.1773	4.914780139923096	0.1918	0.1918	0.1918	0.1918	4.825400352478027	0.1957	0.1957	0.1957	0.1957
4	17:54:57	2	1.0000	4.18899909125434	0.3025	0.3025	0.3025	0.3025	3.0242221355438232	0.2821	0.2821	0.2821	0.2821	2.831737995147705	0.3333	0.3333	0.3333	0.3333
5	17:55:01	0	1.0000	5.419438954166205	0.3664	0.3664	0.3664	0.3664	2.75161075592041	0.3723	0.3723	0.3723	0.3723	2.6800668239593506	0.4054	0.4054	0.4054	0.4054
6	17:55:09	1	1.0000	5.342917057695682	0.269	0.269	0.269	0.269	3.5870611667633057	0.2564	0.2564	0.2564	0.2564	3.345036745071411	0.3054	0.3054	0.3054	0.3054
7	17:55:14	2	1.0000	5.32080924392592	0.3155	0.3155	0.3155	0.3155	7.759576797485352	0.34	0.34	0.34	0.34	7.628766059875488	0.3312	0.3312	0.3312	0.3312
8	17:55:18	0	1.0000	4.1956251644919105	0.3836	0.3836	0.3836	0.3836	4.180885314941406	0.3884	0.3884	0.3884	0.3884	4.230207920074463	0.3828	0.3828	0.3828	0.3828
9	17:55:27	0	1.0000	3.271067265359504	0.3779	0.3779	0.3779	0.3779	2.6583406925201416	0.3979	0.3979	0.3979	0.3979	2.62882661819458	0.3591	0.3591	0.3591	0.3591
10	17:55:34	0	1.0000	2.9103878445095486	0.4468	0.4468	0.4468	0.4468	2.4204375743865967	0.4615	0.4615	0.4615	0.4615	2.399742603302002	0.4839	0.4839	0.4839	0.4839
11	17:55:43	0	1.0000	2.777140458199431	0.4923	0.4923	0.4923	0.4923	3.918973922729492	0.5043	0.5043	0.5043	0.5043	3.889521360397339	0.4925	0.4925	0.4925	0.4925
12	17:55:51	1	1.0000	2.496319082273659	0.3969	0.3969	0.3969	0.3969	2.2679638862609863	0.3808	0.3808	0.3808	0.3808	2.1717779636383057	0.428	0.428	0.428	0.428
13	17:55:56	2	1.0000	2.3848610014498375	0.3674	0.3674	0.3674	0.3674	4.246913433074951	0.396	0.396	0.396	0.396	4.060720920562744	0.3903	0.3903	0.3903	0.3903
14	17:56:00	0	1.0000	2.222564379825096	0.5052	0.5052	0.5052	0.5052	1.8373045921325684	0.5157	0.5157	0.5157	0.5157	1.8281396627426147	0.5065	0.5065	0.5065	0.5065
15	17:56:09	1	1.0000	2.0645578695527207	0.468	0.468	0.468	0.468	1.6176342964172363	0.4815	0.4815	0.4815	0.4815	1.5985922813415527	0.4796	0.4796	0.4796	0.4796
16	17:56:13	2	1.0000	2.145753857768174	0.5006	0.5006	0.5006	0.5006	1.5816307067871094	0.5119	0.5119	0.5119	0.5119	1.5708155632019043	0.5108	0.5108	0.5108	0.5108
17	17:56:18	0	1.0000	2.1954070359538913	0.5597	0.5597	0.5597	0.5597	1.7646965980529785	0.567	0.567	0.567	0.567	1.7162262201309204	0.5806	0.5806	0.5806	0.5806
18	17:56:26	1	1.0000	2.203673255866301	0.4826	0.4826	0.4826	0.4826	2.0212466716766357	0.4919	0.4919	0.4919	0.4919	2.0252559185028076	0.5075	0.5075	0.5075	0.5075
19	17:56:30	2	1.0000	2.1420093473249575	0.3489	0.3489	0.3489	0.3489	2.330878496170044	0.3647	0.3647	0.3647	0.3647	2.2088277339935303	0.3774	0.3774	0.3774	0.3774
20	17:56:35	3	1.0000	2.07410471309725	0.3974	0.3974	0.3974	0.3974	1.8742517232894897	0.3789	0.3789	0.3789	0.3789	1.796388030052185	0.4194	0.4194	0.4194	0.4194
21	17:56:40	4	1.0000	1.7826143882516992	0.4714	0.4714	0.4714	0.4714	1.5648210048675537	0.4796	0.4796	0.4796	0.4796	1.5284771919250488	0.4978	0.4978	0.4978	0.4978
22	17:56:45	1	0.5000	1.4970346942297392	0.5604	0.5604	0.5604	0.5604	1.356946349143982	0.5622	0.5622	0.5622	0.5622	1.3403091430664062	0.5785	0.5785	0.5785	0.5785
23	17:56:50	2	0.5000	1.5013185902408392	0.5512	0.5512	0.5512	0.5512	1.4122867584228516	0.5546	0.5546	0.5546	0.5546	1.4075431823730469	0.5753	0.5753	0.5753	0.5753
24	17:56:54	3	0.5000	1.496677649387513	0.4788	0.4788	0.4788	0.4788	1.4409854412078857	0.4748	0.4748	0.4748	0.4748	1.4059138298034668	0.5086	0.5086	0.5086	0.5086
